Hyperlink,Total Bed Spaces,Catered,Self-catered,Computer room,Self-service laundry,Printing facilities,Projector/Cinema room,Quiet study space,Lift access,Car parking,Communal TV,Common room,Non-smoking,24-hour staff cover,Secure entrance,Accessible rooms,WiFi,Bicycle storage
http://www.lse.ac.uk/student-life/accommodation/halls/urbanest-westminster-bridge/home.aspx,669,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/lilian-knowles-house/home.aspx,365,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/college-hall/home.aspx,28,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/international-hall/home.aspx,106,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/butlers-wharf-residence/home.aspx,280,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/bankside-house/home.aspx,595,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/carr-saunders-hall/home.aspx,155,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/connaught-hall/home.aspx,26,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/high-holborn-residence/home.aspx,446,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
http://www.lse.ac.uk/student-life/accommodation/halls/passfield-hall/home.aspx,227,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/nutford-house/home.aspx,40,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/rosebery-hall/home.aspx,337,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/the-garden-halls/home.aspx,150,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
http://www.lse.ac.uk/student-life/accommodation/halls/sidney-webb-house/home.aspx,454,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
